targets,factors
Agreementonquotaallocation,Consensus|Predictabilityofproductivity|!VariabilityoffishdistributionIS|!VariabilityoffishdistributionGL|!VariabilityoffishdistributionFO
RatioofwhatislandedvsMSY,MaximumSustainableYield|!LandingsIS|!LandingsGL|!LandingsFO
TotalfishingeffortIS,VariabilityoffishdistributionIS|!Agreementonquotaallocation
JobsIS,LandingsIS|!FisherytechnologyIS|!HardwareforfisheryIS
LandingsIS,TotalfishingeffortIS|Stocksoffish
MunicipalitytaxIS,JobsIS
FisherytechnologyIS,FisheriesrelatedgearcompaniesIS
HardwareforfisheryIS,FisheriesrelatedgearcompaniesIS
ProfitsIS,LandingsIS|ExportsIS|!FishingcostsIS
MaximumSustainableYield,Stocksoffish
Stocksoffish,Agreementonquotaallocation|RatioofwhatislandedvsMSY|Stockproductivity|!Predationbyotherorganisms|!TotalfishingeffortIS|!TotalfishingeffortGL|!TotalfishingeffortFO
VariabilityoffishdistributionIS,Stocksoffish|Temperaturevariations
Consensus,HighlevelgovernmentdecisionmakingIS|HighlevelgovernmentdecisionmakingGL|HighlevelgovernmentdecisionmakingFO
Predictabilityofproductivity,Uncertainties
HighlevelgovernmentdecisionmakingIS,DiscrepanciesfromdecisionsIS|InfluenceindecisionmakingIS|SocialeconomicadvisoryIS|!VariabilityoffishdistributionIS
DiscrepanciesfromdecisionsIS,PastgoalsforallocationIS|!RealdecisiontakenIS
InfluenceindecisionmakingIS,PowerofthesectorIS
PowerofthesectorIS,ProfitsIS
TaxesIS,JobsIS|ProfitsIS
OtherjobsIS,FisheriesrelatedgearcompaniesIS
Uncertainties,Climatevariability|Variabilityinrecruitment|VariabilityinGrowth|Differencebetweenspecies
ExportsIS,LandingsIS
FishingcostsIS,TotalfishingeffortIS
Temperaturevariations,Climatevariability
TotalfishingeffortGL,VariabilityoffishdistributionGL|!Agreementonquotaallocation
JobsGL,LandingsGL|!FisherytechnologyGL|!HardwareforfisheryGL
LandingsGL,Stocksoffish|TotalfishingeffortGL
MunicipalitytaxGL,JobsGL
FisherytechnologyGL,FisheriesrelatedgearcompaniesGL
HardwareforfisheryGL,FisheriesrelatedgearcompaniesGL
ProfitsGL,LandingsGL|ExportsGL|!FishingcostsGL
VariabilityoffishdistributionGL,Stocksoffish|Temperaturevariations
HighlevelgovernmentdecisionmakingGL,DiscrepanciesfromdecisionsGL|InfluenceindecisionmakingGL|SocialeconomicadvisoryGL|!VariabilityoffishdistributionGL
DiscrepanciesfromdecisionsGL,PastgoalsforallocationGL|!RealdecisiontakenGL
InfluenceindecisionmakingGL,PowerofthesectorGL
PowerofthesectorGL,ProfitsGL
TaxesGL,JobsGL|ProfitsGL
OtherjobsGL,FisheriesrelatedgearcompaniesGL
ExportsGL,LandingsGL
FishingcostsGL,TotalfishingeffortGL
TotalfishingeffortFO,VariabilityoffishdistributionFO|!Agreementonquotaallocation
JobsFO,LandingsFO|!FisherytechnologyFO|!HardwareforfisheryFO
LandingsFO,Stocksoffish|!TotalfishingeffortFO
MunicipalitytaxFO,JobsFO
FisherytechnologyFO,FisheriesrelatedgearcompaniesFO
HardwareforfisheryFO,FisheriesrelatedgearcompaniesFO
ProfitsFO,LandingsFO|FishingcostsFO|!ExportsFO
VariabilityoffishdistributionFO,Stocksoffish|Temperaturevariations
HighlevelgovernmentdecisionmakingFO,VariabilityoffishdistributionFO|DiscrepanciesfromdecisionsFO|InfluenceindecisionmakingFO|!SocialeconomicadvisoryFO
DiscrepanciesfromdecisionsFO,RealdecisiontakenFO|!PastgoalsforallocationFO
InfluenceindecisionmakingFO,PowerofthesectorFO
PowerofthesectorFO,!ProfitsFO
TaxesFO,JobsFO|ProfitsFO
OtherjobsFO,FisheriesrelatedgearcompaniesFO
ExportsFO,LandingsFO
FishingcostsFO,TotalfishingeffortFO
LocaldevelopmentIS,JobsIS|LandingsIS|MunicipalitytaxIS
NationaleconomyIS,TaxesIS|OtherjobsIS|!Agreementonquotaallocation
LocaldevelopmentGL,JobsGL|LandingsGL|MunicipalitytaxGL
NationaleconomyGL,TaxesGL|OtherjobsGL|!Agreementonquotaallocation
LocaldevelopmentFO,JobsFO|LandingsFO|MunicipalitytaxFO
NationaleconomyFO,Agreementonquotaallocation|TaxesFO|OtherjobsFO
