targets,factors
ALIEN,MPA_VESSELS
ANCHORAGES,RECREATION | MPA_ACCESS | RESIDENTS
BATHING,BEACH_STATUS | PROTECTION_SEQUESTRATION | POSIDONIA
BEACH_STATUS,POSIDONIA_STATUS
DISCHARGE,MPA_VESSELS
EMPLOYMENT,FISH_BIOMASS | BEACH_STATUS
FISH_BIOMASS,POSIDONIA_STATUS | FOOD_WEB | FISH_BIOMASS
FISH_LANDED,FISH_BIOMASS | POSIDONIA
FISHING,RECREATION | RESIDENTS
FOOD_WEB,! DISCHARGE | ! POSIDONIA_LOST | ! ALIEN | ! REMOVED_ANIMALS | FOOD_WEB
MPA_ACCESS,EMPLOYMENT | NATURAL_HABITAT | BATHING
MPA_VESSELS,MPA_ACCESS | RECREATION | RESIDENTS
NATURAL_HABITAT,POSIDONIA
POSIDONIA,! TURBIDITY | POSIDONIA |! POSIDONIA_LOST
POSIDONIA_LOST,ANCHORAGES
POSIDONIA_STATUS,! DISCHARGE | ! POSIDONIA_LOST
PROTECTION_SEQUESTRATION,POSIDONIA_STATUS | ! TURBIDITY
RECREATION,BATHING | ! NATURAL_HABITAT
REMOVED_ANIMALS,FISHING | MPA_VESSELS | REMOVED_BIOMASS
REMOVED_BIOMASS,RECREATION | RESIDENTS
RESIDENTS,EMPLOYMENT | FISH_LANDED
TURBIDITY,POSIDONIA_LOST | DISCHARGE
